timestamp,difficulty,count,submissions
2026-03-07 11:20:03,All,85,112
2026-03-07 11:20:03,Easy,59,82
2026-03-07 11:20:03,Medium,24,28
2026-03-07 11:20:03,Hard,2,2
2026-03-07 11:20:26,All,85,112
2026-03-07 11:20:26,Easy,59,82
2026-03-07 11:20:26,Medium,24,28
2026-03-07 11:20:26,Hard,2,2
2026-03-07 11:20:53,All,85,112
2026-03-07 11:20:53,Easy,59,82
2026-03-07 11:20:53,Medium,24,28
2026-03-07 11:20:53,Hard,2,2
2026-03-07 11:23:45,All,85,112
2026-03-07 11:23:45,Easy,59,82
2026-03-07 11:23:45,Medium,24,28
2026-03-07 11:23:45,Hard,2,2
2026-03-07 11:24:11,All,85,112
2026-03-07 11:24:11,Easy,59,82
2026-03-07 11:24:11,Medium,24,28
2026-03-07 11:24:11,Hard,2,2
2026-03-07 11:24:53,All,85,112
2026-03-07 11:24:53,Easy,59,82
2026-03-07 11:24:53,Medium,24,28
2026-03-07 11:24:53,Hard,2,2
2026-03-07 11:24:57,All,85,112
2026-03-07 11:24:57,Easy,59,82
2026-03-07 11:24:57,Medium,24,28
2026-03-07 11:24:57,Hard,2,2
2026-03-07 11:25:37,All,85,112
2026-03-07 11:25:37,Easy,59,82
2026-03-07 11:25:37,Medium,24,28
2026-03-07 11:25:37,Hard,2,2
