timestamp,topic,problems_solved
2026-03-02 09:33:49,Array,56
2026-03-02 09:33:49,Matrix,1
2026-03-02 09:33:49,String,15
2026-03-02 09:33:49,Simulation,10
2026-03-02 09:33:49,Sorting,13
2026-03-02 09:33:49,Stack,8
2026-03-02 09:33:49,Queue,3
2026-03-02 09:33:49,Linked List,1
2026-03-02 09:33:49,Two Pointers,14
2026-03-02 09:33:49,Hash Table,15
2026-03-02 09:33:49,Greedy,3
2026-03-02 09:33:49,Binary Search,7
2026-03-02 09:33:49,Recursion,1
2026-03-02 09:33:49,Bit Manipulation,9
2026-03-02 09:33:49,Math,12
2026-03-02 09:33:49,Design,1
2026-03-02 09:33:49,Database,1
2026-03-02 09:33:49,Dynamic Programming,4
2026-03-02 09:33:49,Divide and Conquer,5
2026-03-02 09:33:49,Trie,1
2026-03-02 09:33:49,Monotonic Stack,3
2026-03-02 14:46:21,Array,56
2026-03-02 14:46:21,Matrix,1
2026-03-02 14:46:21,String,15
2026-03-02 14:46:21,Simulation,10
2026-03-02 14:46:21,Sorting,13
2026-03-02 14:46:21,Stack,8
2026-03-02 14:46:21,Queue,3
2026-03-02 14:46:21,Linked List,1
2026-03-02 14:46:21,Two Pointers,14
2026-03-02 14:46:21,Hash Table,15
2026-03-02 14:46:21,Greedy,3
2026-03-02 14:46:21,Binary Search,7
2026-03-02 14:46:21,Recursion,1
2026-03-02 14:46:21,Bit Manipulation,9
2026-03-02 14:46:21,Math,12
2026-03-02 14:46:21,Design,1
2026-03-02 14:46:21,Database,1
2026-03-02 14:46:21,Dynamic Programming,4
2026-03-02 14:46:21,Divide and Conquer,5
2026-03-02 14:46:21,Trie,1
2026-03-02 14:46:21,Monotonic Stack,3
2026-03-02 15:27:17,Array,56
2026-03-02 15:27:17,Matrix,1
2026-03-02 15:27:17,String,15
2026-03-02 15:27:17,Simulation,10
2026-03-02 15:27:17,Sorting,13
2026-03-02 15:27:17,Stack,8
2026-03-02 15:27:17,Queue,3
2026-03-02 15:27:17,Linked List,1
2026-03-02 15:27:17,Two Pointers,14
2026-03-02 15:27:17,Hash Table,15
2026-03-02 15:27:17,Greedy,3
2026-03-02 15:27:17,Binary Search,7
2026-03-02 15:27:17,Recursion,1
2026-03-02 15:27:17,Bit Manipulation,9
2026-03-02 15:27:17,Math,12
2026-03-02 15:27:17,Design,1
2026-03-02 15:27:17,Database,1
2026-03-02 15:27:17,Dynamic Programming,4
2026-03-02 15:27:17,Divide and Conquer,5
2026-03-02 15:27:17,Trie,1
2026-03-02 15:27:17,Monotonic Stack,3
